"n","x","y","id"
"Royal Oak West (Auckland)",174.7693,-36.9101,403
"Mount Wellington South East",174.8554,-36.927,404
"Sandringham Central",174.7339,-36.8882,405
"Onetangi",175.0784,-36.7958,406
"New Lynn Seabrook",174.6718,-36.9179,407
"Wesley East",174.7341,-36.9033,408
"Howick Central",174.9237,-36.8992,409
"Mangere South",174.7951,-36.9788,410
"Mount Roskill Central South",174.7383,-36.9158,411
"Mount Eden West",174.7536,-36.8838,412
"Mount Eden South",174.7545,-36.8958,413
"Waikowhai South",174.7469,-36.93,414
"Wesley West",174.7265,-36.8988,415
"Orakei East",174.8233,-36.8537,416
"Mount Roskill White Swan",174.726,-36.9148,417
"Mount Roskill South",174.7301,-36.9245,418
"Waikowhai North",174.74,-36.9259,419
"Remuera Waiata",174.8044,-36.8774,420
"Saint Heliers West",174.8507,-36.8571,421
"Mangere East",174.8392,-36.9693,422
"Papatoetoe Central",174.858,-36.9746,423
"Remuera East",174.8214,-36.8761,424
"Remuera Abbotts Park",174.8131,-36.8849,425
"Mangere Mountain View",174.7859,-36.9525,426
"Glendowie North",174.8737,-36.8554,427
"Pukekohe Central",174.9133,-37.2089,428
"Hillsborough East (Auckland)",174.7565,-36.9199,429
"Onehunga West",174.7742,-36.9197,430
"Greenlane South",174.7988,-36.9008,431
"Meadowbank West",174.8257,-36.8696,432
"Saint Heliers South",174.8563,-36.864,433
"Howick East",174.9304,-36.9009,434
"Te Papapa",174.7965,-36.9186,435
"Saint Johns East",174.8461,-36.8755,436
"Glen Innes West",174.8569,-36.8732,437
"Ellerslie East",174.8211,-36.8923,438
"Papakura Central",174.9428,-37.0654,439
"Glen Innes East-Wai O Taiki Bay",174.8712,-36.8736,440
"Pakuranga Heights East",174.899,-36.9086,441
"Meadowbank East",174.837,-36.8698,442
"One Tree Hill",174.7822,-36.9012,443
"Panmure East",174.8604,-36.9023,444
"Campus South",170.5121,-45.8679,445
"Takanini Central",174.9259,-37.0507,446
"Mount Wellington Central",174.8446,-36.9083,447
"Pakuranga Central",174.8778,-36.9147,448
"Stonefields East",174.8426,-36.8889,449
"Mount Wellington North East",174.8429,-36.894,450
"Oneroa East-Palm Beach",175.0522,-36.7793,451
"Surfdale",175.0299,-36.7961,452
"Ostend",175.0522,-36.7926,453
"Waiheke East",175.128,-36.798,454
"Sunnyvale West-Parrs Park",174.6307,-36.9037,455
"Point England",174.8653,-36.8839,456
"Tamaki",174.8619,-36.8952,457
"Pakuranga West",174.8688,-36.9182,458
"Mount Wellington Ferndale",174.8318,-36.9021,459
"Botany Central",174.9122,-36.9312,460
"Melrose",174.7891,-41.3243,461
"Mount Wellington West",174.8277,-36.9112,462
"Harania South",174.8146,-36.9675,463
"Highland Park (Auckland)",174.9094,-36.9047,464
"Half Moon Bay West",174.8967,-36.886,465
"Eastern Beach",174.9135,-36.8767,466
"Bucklands Beach Central",174.9077,-36.88,467
"Half Moon Bay South East",174.9025,-36.8947,468
"Bucklands Beach South",174.9132,-36.8898,469
"Mellons Bay",174.9304,-36.8872,470
"Northpark South",174.9164,-36.9227,471
"Turanga",174.9885,-36.9641,472
"Favona East",174.8109,-36.9559,473
"Takanini Industrial",174.9154,-37.0336,474
"Oneroa West",174.9997,-36.7877,475
"Stonefields West",174.8372,-36.8868,476
"Mount Wellington East",174.8388,-36.9015,477
"Pakuranga Heights North West",174.8886,-36.9116,478
"Favona West",174.8001,-36.9559,479
"Mangere West",174.79,-36.9656,480
"Papatoetoe South West",174.8468,-36.9895,481
"Bucklands Beach North",174.9038,-36.8607,482
"Farm Cove",174.8838,-36.8955,483
"Half Moon Bay North East",174.9049,-36.8865,484
"Somerville",174.9339,-36.9123,485
"Ormiston North",174.9131,-36.9641,486
"Chapel Downs",174.9021,-36.9719,487
"Massey Road West",174.8244,-36.9653,488
"Otahuhu South",174.85,-36.9472,489
"Mangere South East",174.8274,-36.987,490
"Aorere South",174.8376,-36.9814,491
"Puhinui North",174.8624,-36.9835,492
"Ramarama",174.9341,-37.1595,493
"Harania North",174.8103,-36.9617,494
"Aorere Central",174.8303,-36.9768,495
"Sutton Park",174.8221,-36.9587,496
"Massey Road North",174.8326,-36.964,497
"Pakuranga Heights South West",174.8868,-36.9199,498
"Grange",174.8494,-36.9638,499
"Botany South",174.9141,-36.9386,500
"Howick West",174.9198,-36.8932,501
"Mount Wellington South West",174.846,-36.9311,502
"Kingseat-Karaka",174.8215,-37.1244,503
"Ardmore",175.0115,-37.0618,504
"Glenbrook",174.7553,-37.2018,505
"Hingaia",174.9142,-37.0737,506
"Papakura Industrial",174.9643,-37.0733,507
"Drury",174.9367,-37.1061,508
"Tamakae",174.7233,-37.2447,509
"Hamilton Estate",174.7395,-37.2458,510
"Drury Rural",174.9748,-37.1122,511
"Waiuku Central",174.7278,-37.2558,512
"Waiuku East",174.735,-37.258,513
"Kendallvale",174.7507,-37.2531,514
"Pukekohe North West",174.8958,-37.1823,515
"Aka Aka",174.7751,-37.2913,516
"Mangere Mascot",174.8095,-36.9733,517
"Puhinui East",174.8718,-36.9822,518
"Papatoetoe East",174.8735,-36.9724,519
"Cockle Bay",174.9433,-36.8977,520
"Northpark North",174.9225,-36.9172,521
"Botany North",174.9261,-36.925,522
"Baverstock",174.9167,-36.9553,523
"Sunnyhills East",174.8914,-36.9014,524
"Otara West",174.8653,-36.9559,525
"Botany Downs East",174.9218,-36.91,526
"Manurewa Central",174.8915,-37.0211,527
"Dingwall",174.8607,-36.9634,528
"Papatoetoe West",174.8465,-36.9801,529
"Rowandale East",174.8809,-37.0253,530
"Manurewa South",174.9004,-37.0314,531
"Golflands",174.9078,-36.9214,532
"Shelly Park",174.9465,-36.9083,533
"Aorere North",174.8267,-36.9736,534
"Karaka Lakes",174.9265,-37.0846,535
"Otara South",174.8764,-36.9683,536
"Ormiston South",174.9176,-36.976,537
"Papatoetoe South",174.8673,-36.9775,538
"Puhinui South",174.8589,-36.9891,539
"Donegal Park",174.9079,-36.9775,540
"Otara East",174.8863,-36.9549,541
"Ferguson",174.8825,-36.9662,542
"Rongomai East",174.8943,-36.9728,543
"Dannemora North",174.9122,-36.9458,544
"Papatoetoe North",174.8494,-36.9709,545
"Wiri East",174.8871,-36.999,546
"Clendon Park East",174.8651,-37.0323,547
"Takanini North",174.9323,-37.0262,548
