"n","x","y","id"
"Paraparaumu East",175.0119,-40.9193,1277
"Raumati South",174.9833,-40.9413,1278
"Wellington University",174.7676,-41.2891,1279
"Petone Central",174.8697,-41.2236,1280
"Courtenay",174.7828,-41.2921,1281
"Paraparaumu Beach North",174.9988,-40.8811,1282
"Raumati Beach East",174.9927,-40.9219,1283
"Plimmerton",174.8604,-41.0677,1284
"Hutt Central North",174.9066,-41.2087,1285
"Gracefield",174.9108,-41.2402,1286
"Vivian East",174.7801,-41.2969,1287
"Waikanae Beach",175.0271,-40.8646,1288
"Maungakotukutuku",175.0476,-40.9369,1289
"Paremata",174.8671,-41.0989,1290
"Papakowhai",174.8635,-41.1159,1291
"Alicetown-Melling",174.8937,-41.214,1292
"Petone East",174.8906,-41.2248,1293
"Tawa Central",174.8272,-41.174,1294
"Grenada North",174.839,-41.1773,1295
"Johnsonville Central",174.8074,-41.2237,1296
"Newlands South",174.8212,-41.2345,1297
"Vivian West",174.7728,-41.2947,1298
"Newtown North",174.7832,-41.309,1299
"Rongotai",174.8097,-41.3308,1300
"Paekakariki",174.969,-40.9719,1301
"Whitby",174.8911,-41.1172,1302
"Trentham South",175.0408,-41.1489,1303
"Mount Cook East",174.7775,-41.3025,1304
"Miramar South",174.8142,-41.3207,1305
"Tirohanga",174.9058,-41.1983,1306
"Aotea",174.8572,-41.1283,1307
"Cannons Creek East",174.8714,-41.1372,1308
"Pauatahanui",174.9467,-41.0949,1309
"Titahi Bay South",174.827,-41.1134,1310
"Linden",174.8338,-41.1567,1311
"Mount Victoria",174.7876,-41.2988,1312
"Elsdon-Takapuwahia",174.8095,-41.132,1313
"Cannons Creek North",174.8626,-41.1397,1314
"Waitangirua",174.88,-41.1298,1315
"Titahi Bay North",174.8439,-41.0987,1316
"Endeavour",174.9042,-41.1146,1317
"Tawa South",174.8169,-41.1815,1318
"Newtown West",174.7761,-41.3129,1319
"Kilbirnie Central",174.7927,-41.3169,1320
"Ascot Park",174.8734,-41.12,1321
"Porirua East",174.8557,-41.1431,1322
"Kilbirnie East",174.8014,-41.321,1323
"Hutt Central South",174.9094,-41.2135,1324
"Postgate",174.8824,-41.1133,1325
"Ranui Heights",174.8501,-41.1516,1326
"Upper Hutt Central",175.0763,-41.1271,1327
"Onepoto",174.8528,-41.104,1328
"Petone Esplanade",174.8873,-41.2297,1329
"Epuni West",174.9273,-41.2057,1330
"Cannons Creek South",174.8714,-41.15,1331
"Paekakariki Hill",174.909,-41.0568,1332
"Heretaunga",175.0191,-41.1388,1333
"Boulcott",174.9244,-41.1994,1334
"Johnsonville South",174.8021,-41.231,1335
"Paparangi",174.8198,-41.2167,1336
"Poets Block",175.046,-41.1229,1337
"Brentwood (Upper Hutt City)",175.0368,-41.1289,1338
"Trentham North",175.0456,-41.1328,1339
"Te Marua",175.1434,-41.0887,1340
"Silverstream (Upper Hutt City)",175.0098,-41.1523,1341
"Elderslea",175.0579,-41.1202,1342
"Totara Park",175.0844,-41.1093,1343
"Ebdentown",175.0724,-41.1188,1344
"Wallaceville",175.0609,-41.1289,1345
"Clouston Park",175.0871,-41.1174,1346
"Belmont Park",174.9155,-41.1693,1347
"Taita South",174.9592,-41.1849,1348
"Naenae Central",174.9496,-41.1997,1349
"Mangaroa",175.1179,-41.1567,1350
"Pinehaven",175.0177,-41.1684,1351
"Avalon West",174.9411,-41.1909,1352
"Stokes Valley North",174.9931,-41.1669,1353
"Eastern Bays",174.9093,-41.2808,1354
"Maoribank",175.1088,-41.1063,1355
"Stokes Valley Central",174.9774,-41.1689,1356
"Waiwhetu",174.9174,-41.2255,1357
"Waterloo East",174.9292,-41.2179,1358
"Naenae North",174.9625,-41.1974,1359
"Moera",174.9036,-41.2279,1360
"Birchville-Brown Owl",175.1132,-41.086,1361
"Taita North",174.9646,-41.1713,1362
"Normandale",174.8932,-41.2035,1363
"Kelson",174.9429,-41.1727,1364
"Avalon East",174.9446,-41.1958,1365
"Waterloo West",174.9206,-41.215,1366
"Maungaraki",174.8799,-41.2084,1367
"Belmont (Lower Hutt City)",174.9212,-41.1901,1368
"Epuni East",174.9348,-41.2089,1369
"Korokoro",174.8678,-41.2156,1370
"Eastbourne",174.8943,-41.3003,1371
"Strathmore (Wellington City)",174.8205,-41.3316,1372
"Wainuiomata Central",174.9407,-41.2614,1373
"Manor Park",174.9799,-41.1558,1374
"Delaney",174.9792,-41.1865,1375
"Manuka",174.987,-41.185,1376
"Homedale East",174.9584,-41.2691,1377
"Wainuiomata West",174.9329,-41.251,1378
"Glendale",174.9547,-41.243,1379
"Homedale West",174.9498,-41.2741,1380
"Arakura",174.9448,-41.2387,1381
"Johnsonville North",174.803,-41.2176,1382
"Karori Park",174.7257,-41.2826,1383
"Karori North",174.7444,-41.2776,1384
"Karori East",174.7474,-41.287,1385
"Berhampore",174.7738,-41.3233,1386
"Newtown South",174.7844,-41.3205,1387
"Tawa North",174.8211,-41.1643,1388
"Churton Park North",174.8137,-41.1977,1389
"Newlands North",174.8205,-41.2241,1390
"Churton Park South",174.807,-41.2109,1391
"Johnsonville West",174.7938,-41.2231,1392
"Khandallah North",174.7977,-41.2429,1393
"Khandallah South",174.7886,-41.2526,1394
"Grenada Village",174.8254,-41.2047,1395
"Crofton Downs",174.7618,-41.2575,1396
"Khandallah Reserve",174.7855,-41.2435,1397
"Ngaio South",174.776,-41.2532,1398
"Wellington Botanic Gardens",174.7687,-41.2825,1399
"Oriental Bay",174.7929,-41.2919,1400
"Takapu-Horokiwi",174.8592,-41.1855,1401
"Mount Cook West",174.7718,-41.3033,1402
"Wilton",174.7607,-41.2684,1403
"Kelburn",174.7605,-41.288,1404
"Wadestown",174.7757,-41.2622,1405
"Northland (Wellington City)",174.7602,-41.2791,1406
"Makara-Ohariu",174.7153,-41.2593,1407
"Karori South",174.7333,-41.289,1408
"Miramar North",174.8233,-41.306,1409
"Aro Valley",174.7599,-41.2957,1410
"Onslow",174.8028,-41.2495,1411
"Hataitai North",174.7963,-41.3016,1412
"Island Bay West",174.769,-41.341,1413
"Brooklyn East",174.7659,-41.3079,1414
"Island Bay East",174.7759,-41.3367,1415
"Kingston-Mornington-Vogeltown",174.7658,-41.3195,1416
"Miramar Central",174.8176,-41.3129,1417
"Brooklyn South",174.7565,-41.3169,1418
"Evans Bay",174.7967,-41.3116,1419
"Roseneath",174.8008,-41.2923,1420
"Lyall Bay",174.7942,-41.3271,1421
"Hataitai South",174.7924,-41.3091,1422
"Owhiro Bay",174.7612,-41.3379,1423
"Miramar East",174.8219,-41.3189,1424
"Seatoun",174.8334,-41.3257,1425
"Houghton Bay",174.7874,-41.3378,1426
"Karaka Bay-Worser Bay",174.8258,-41.3176,1427
"Solway South",175.634,-40.9691,1428
"Whareama",175.9899,-40.919,1429
"Homebush-Te Ore Ore",175.7123,-40.9815,1430
"Kokotau",175.5815,-41.0381,1431
"Lansdowne West",175.6652,-40.9365,1432
"McJorrow Park",175.6675,-40.9602,1433
"Mount Holdsworth",175.4514,-40.9171,1434
"Upper Plain",175.5794,-40.8951,1435
"Cameron and Soldiers Park",175.6614,-40.9571,1436
"Ngaumutawa",175.6362,-40.9412,1437
"Carterton North",175.5268,-41.0194,1438
"Greytown",175.4543,-41.0824,1439
"Featherston",175.3243,-41.1161,1440
"Gladstone (Carterton District)",175.8645,-41.2181,1441
"Martinborough",175.4586,-41.2198,1442
"Tauherenikau",175.3691,-41.0639,1443
"Aorangi Forest",175.4579,-41.3749,1444
"Kahutara",175.0805,-41.3327,1445
"Takaka",172.8188,-40.8606,1446
"Pohara-Abel Tasman",172.9232,-40.8975,1447
"Golden Bay/Mohua",172.572,-40.8694,1448
"Richmond Central (Tasman District)",173.1894,-41.3375,1449
"Kaiteriteri-Riwaka",173.0047,-41.0845,1450
"Upper Moutere",172.8515,-41.2494,1451
"Lower Moutere",172.9805,-41.1604,1452
"Motueka North",173.0132,-41.1059,1453
"Motueka West",172.9956,-41.1254,1454
"Motueka East",173.0192,-41.12,1455
"Nelson Airport",173.2298,-41.2957,1456
"Nelson Central-Trafalgar",173.2821,-41.2727,1457
"Takaka Hills",172.9241,-41.0505,1458
"Moutere Hills",173.0336,-41.2641,1459
"Golden Downs",172.7883,-41.5089,1460
"Ruby Bay-Mapua",173.0805,-41.2416,1461
"Waimea West",173.0812,-41.3298,1462
"Appleby",173.1374,-41.3342,1463
"Richmond West (Tasman District)",173.1695,-41.3302,1464
"Brightwater",173.0999,-41.3768,1465
"Templemore",173.2042,-41.3415,1466
"Rutherford",173.2823,-41.2807,1467
"Saxton",173.2216,-41.3337,1468
"Daelyn",173.2126,-41.3382,1469
"Port Nelson",173.278,-41.2615,1470
"Wakefield",173.0442,-41.4106,1471
"Murchison-Nelson Lakes",172.465,-41.8846,1472
"Wakefield Rural",173.1216,-41.4967,1473
"Hope",173.1431,-41.3669,1474
"Easby Park",173.1984,-41.3467,1475
"Richmond South (Tasman District)",173.1716,-41.3569,1476
"Tahunanui",173.2411,-41.2845,1477
"The Wood",173.2924,-41.2671,1478
"Nayland",173.2365,-41.3043,1479
"Victory",173.2699,-41.2858,1480
"Grampians",173.2735,-41.2966,1481
"Omaio",173.2444,-41.3246,1482
"Ben Cooper Park",173.1759,-41.3451,1483
"Broadgreen-Monaco",173.2269,-41.3073,1484
"Suffolk",173.2209,-41.3249,1485
"Lower Waitaki",171.0204,-45.0024,1486
"Tahuna Hills",173.2533,-41.2911,1487
"Wilkes Park",173.1867,-41.3475,1488
"Marybank",173.3222,-41.2289,1489
"Atawhai",173.3198,-41.2479,1490
"The Brook",173.2914,-41.3006,1491
"Nelson Rural",173.4127,-41.2384,1492
"Britannia",173.2703,-41.2685,1493
"Maitai",173.2983,-41.2767,1494
"Enner Glynn",173.2644,-41.315,1495
"Aldinga",173.2216,-41.3139,1496
"Washington",173.2665,-41.2752,1497
"Marlborough Sounds Coastal Marine",174.0283,-41.2505,1498
"Upper Wairau",173.3041,-41.7179,1499
"Waikawa (Marlborough District)",174.0337,-41.269,1500
"Waitohi (Marlborough District)",173.9996,-41.2944,1501
"Renwick",173.8259,-41.5081,1502
"Lower Wairau",174.006,-41.4855,1503
"Woodbourne",173.9036,-41.5308,1504
"Springlands",173.9362,-41.5042,1505
"Yelverton",173.9343,-41.5142,1506
"Whitney West",173.9421,-41.522,1507
"Blenheim Central",173.9625,-41.5152,1508
"Whitney East",173.9589,-41.5206,1509
"Witherlea West",173.9454,-41.5401,1510
"Riverlands",173.9791,-41.5267,1511
"Marlborough Sounds West",173.6264,-41.2562,1512
"Tuamarina",173.9111,-41.4185,1513
"Awatere",173.2945,-42.0961,1514
"Riversdale-Islington",173.9671,-41.5065,1515
"Spring Creek-Grovetown",173.9641,-41.475,1516
"Mayfield",173.9522,-41.5025,1517
"Redwoodtown East",173.9598,-41.528,1518
"Witherlea East",173.9586,-41.5382,1519
"Redwoodtown West",173.9486,-41.53,1520
"Merivale",172.6191,-43.5164,1521
"Kaikoura",173.6767,-42.4127,1522
"Kaikoura Ranges",173.6441,-42.1971,1523
"Westport North",171.609,-41.7441,1524
"Buller Coalfields",171.8668,-41.7282,1525
"Westport Rural",171.6468,-41.7817,1526
"Westport South",171.6095,-41.7607,1527
"Charleston (Buller District)",171.5844,-41.9226,1528
"Reefton",171.8601,-42.1151,1529
"Greymouth Central",171.1992,-42.457,1530
"Nelson Creek",171.6881,-42.4315,1531
"Inangahua",171.9957,-42.172,1532
"King Park",171.2106,-42.4566,1533
"Karoro",171.196,-42.4826,1534
"Rutherglen-Camerons",171.1648,-42.5259,1535
"Greymouth Rural",171.2865,-42.5565,1536
"Dobson",171.4101,-42.4884,1537
"Hokitika",170.9719,-42.7187,1538
"Blaketown",171.1976,-42.4474,1539
"Runanga",171.251,-42.3968,1540
"Marsden",171.2048,-42.4697,1541
"Cobden",171.2085,-42.4363,1542
"Lake Brunner",171.6947,-42.6615,1543
"Arahura-Kumara",171.1382,-42.679,1544
"Hokitika Rural",170.9608,-42.7869,1545
"Hokitika Valley-Otira",171.3044,-42.8781,1546
"Waitaha",170.782,-43.0906,1547
"Whataroa-Harihari",170.4391,-43.2584,1548
"Westland Glaciers-Bruce Bay",169.8426,-43.6133,1549
"Amuri",172.9587,-42.6445,1550
"Hanmer Springs",172.823,-42.523,1551
"Hanmer Range",172.4976,-42.5332,1552
"Upper Hurunui",172.5473,-42.9339,1553
"Omihi",172.9468,-42.9856,1554
"Amberley",172.7312,-43.1551,1555
"Deans Bush",172.5945,-43.5247,1556
"Mona Vale",172.6067,-43.5264,1557
"Balcairn",172.7841,-43.1316,1558
"Ashley-Sefton",172.6536,-43.2455,1559
"Rangiora North East",172.6009,-43.2974,1560
"Southbrook",172.5977,-43.3272,1561
"Christchurch Airport",172.5438,-43.4822,1562
"Christchurch Central-South",172.6424,-43.5382,1563
"Parnassus",173.2227,-42.7949,1564
"Ashley Forest",172.564,-43.1246,1565
"Strowan",172.6087,-43.5076,1566
"Rangiora Central",172.5957,-43.3028,1567
"Woodend",172.6659,-43.3218,1568
"Kaiapoi North West",172.6577,-43.3705,1569
"Kaiapoi Central",172.6545,-43.3865,1570
"Kaiapoi East",172.651,-43.4047,1571
"Russley",172.5585,-43.4934,1572
"Hornby Central",172.5357,-43.5392,1573
"Ilam University",172.5783,-43.5234,1574
"Sockburn South",172.5635,-43.5449,1575
"Middleton",172.5833,-43.5421,1576
"Travis Wetlands",172.6887,-43.4856,1577
"Hagley Park",172.6198,-43.5305,1578
"Tower Junction",172.6079,-43.5388,1579
"Christchurch Central",172.636,-43.5324,1580
"Lancaster Park",172.6535,-43.5414,1581
"Pegasus",172.6965,-43.3114,1582
"Islington-Hornby Industrial",172.5083,-43.5526,1583
"Sydenham Central",172.6377,-43.5436,1584
"Oxford",172.1831,-43.2987,1585
"Loburn",172.5168,-43.2307,1586
"Starvation Hill-Cust",172.3628,-43.2926,1587
"Eyrewell",172.2881,-43.3985,1588
"West Eyreton",172.4347,-43.3561,1589
"Christchurch Central-West",172.6307,-43.5278,1590
"Torlesse",171.9032,-43.3457,1591
"Darfield",172.0999,-43.498,1592
"Ashley Gorge",172.0737,-43.2841,1593
"Addington North",172.6177,-43.5412,1594
"Fernside",172.5645,-43.324,1595
"Kingsbury",172.5865,-43.2931,1596
"Lilybrook",172.5937,-43.3109,1597
"Rangiora South East",172.6103,-43.3089,1598
"Swannanoa-Eyreton",172.5106,-43.4151,1599
"Woolston South",172.6842,-43.5612,1600
"Okuku",172.2423,-43.1276,1601
"Rangiora North West",172.5694,-43.2975,1602
"Rangiora South West",172.5855,-43.3119,1603
"Waikuku",172.6644,-43.2927,1604
"Mandeville-Ohoka",172.5445,-43.3669,1605
"Belfast East",172.6376,-43.4484,1606
"Riccarton Central",172.5991,-43.5306,1607
"Bromley North",172.7063,-43.5348,1608
"Northlands (Christchurch City)",172.6069,-43.4921,1609
"Ashgrove",172.5814,-43.3016,1610
"Paparua",172.4623,-43.5273,1611
"Redwood East",172.6229,-43.4797,1612
"Tuahiwi",172.636,-43.3358,1613
"Styx",172.681,-43.4383,1614
"Rutland",172.6227,-43.5065,1615
"Christchurch Central-North",172.6403,-43.5233,1616
"Kaiapoi South",172.6466,-43.3918,1617
"Richmond North (Christchurch City)",172.6586,-43.513,1618
"Clarkville",172.6079,-43.3955,1619
"Sovereign Palms",172.6684,-43.3671,1620
"Hawthornden",172.5503,-43.5044,1621
"Burnside",172.5759,-43.5031,1622
"Ilam North",172.5691,-43.5133,1623
"Northcote (Christchurch City)",172.6187,-43.4899,1624
"Jellie Park",172.5836,-43.5133,1625
"Papanui East",172.6151,-43.498,1626
"Bush Inn",172.5764,-43.5294,1627
"New Brighton",172.7295,-43.5137,1628
"Marshland",172.645,-43.4698,1629
"Wharenui",172.5805,-43.535,1630
"St Albans East",172.6376,-43.5171,1631
"McLeans Island",172.5048,-43.4639,1632
"Northwood",172.6142,-43.4587,1633
"Avonside",172.6706,-43.5234,1634
"Brookhaven-Ferrymead",172.7002,-43.5601,1635
"Kaiapoi West",172.6443,-43.3822,1636
"Templeton",172.4696,-43.5526,1637
"Casebrook",172.5986,-43.4793,1638
"Hei Hei",172.5226,-43.5339,1639
"Avonhead South",172.552,-43.5222,1640
"Sockburn North",172.5574,-43.5325,1641
"Upper Riccarton",172.569,-43.5351,1642
"Harewood",172.5726,-43.4776,1643
"Bishopdale North",172.5877,-43.4836,1644
"Malvern",172.6305,-43.5022,1645
"Bishopdale West",172.579,-43.4893,1646
"Linwood East",172.6829,-43.5296,1647
"Wainoni",172.6898,-43.5185,1648
"Belfast West",172.6231,-43.4457,1649
"Papanui North",172.597,-43.4893,1650
"Shirley East",172.6673,-43.4984,1651
"Christchurch Central-East",172.6455,-43.5288,1652
"Redwood North",172.6247,-43.4692,1653
"Prestons",172.6678,-43.4771,1654
"Avonhead East",172.5587,-43.5156,1655
"Redwood West",172.6133,-43.4785,1656
"Bryndwr North",172.5897,-43.5019,1657
"Hillmorton",172.5838,-43.5531,1658
"Newtons Road",172.3194,-43.5694,1659
"Yaldhurst",172.5144,-43.5168,1660
"Islington",172.5082,-43.5336,1661
"Burnside Park",172.5628,-43.5017,1662
"Bishopdale South",172.5861,-43.4942,1663
"Papanui West",172.6001,-43.4968,1664
"Bryndwr South",172.5964,-43.5067,1665
"Mairehau South",172.6454,-43.5021,1666
"St Albans North",172.6373,-43.51,1667
"Richmond South (Christchurch City)",172.6563,-43.5213,1668
"Spreydon North",172.6201,-43.5516,1669
"Linwood West",172.659,-43.5298,1670
"Sydenham West",172.6332,-43.5509,1671
"Rolleston Izone",172.371,-43.584,1672
"Clearwater",172.5983,-43.4544,1673
"Riccarton West",172.5914,-43.5341,1674
"Shirley West",172.657,-43.4995,1675
"Rawhiti",172.717,-43.5024,1676
"Lyttelton",172.7065,-43.607,1677
"Awatea South",172.5436,-43.5606,1678
"Hornby South",172.5331,-43.5483,1679
"West Melton",172.3652,-43.5257,1680
"Lincoln West",172.4779,-43.6435,1681
"Hornby West",172.5156,-43.5446,1682
"St Albans West",172.6287,-43.5153,1683
"Somerfield West",172.6192,-43.5659,1684
"Sydenham South",172.6413,-43.5548,1685
"Cashmere West",172.6227,-43.574,1686
"Fendalton",172.5967,-43.5158,1687
"Ilam South",172.5626,-43.5244,1688
"Aidanfield",172.5673,-43.5645,1689
"Ensors",172.6683,-43.548,1690
"Addington West",172.6136,-43.545,1691
"St Martins",172.654,-43.5572,1692
"Trents",172.4649,-43.5954,1693
"Hoon Hay West",172.5904,-43.5606,1694
"Halswell South",172.5653,-43.5895,1695
"Burnham Camp",172.303,-43.6151,1696
"Mairehau North",172.6382,-43.4929,1697
"Linwood North",172.6722,-43.528,1698
"Riccarton South",172.602,-43.5344,1699
"Charleston (Christchurch City)",172.6598,-43.5432,1700
"Oaklands East",172.5619,-43.5761,1701
"Riccarton Racecourse",172.5429,-43.529,1702
"Awatea North",172.5385,-43.5527,1703
"Wigram North",172.5528,-43.5487,1704
"Wigram West",172.5483,-43.5535,1705
"Oaklands West",172.5495,-43.5694,1706
"Halswell West",172.5405,-43.5796,1707
"Bankside",172.0374,-43.6586,1708
"Waitikiri",172.6745,-43.4677,1709
"Queenspark",172.6972,-43.4754,1710
"Parklands",172.7081,-43.4806,1711
"Edgeware",172.6471,-43.5144,1712
"North Beach",172.7148,-43.4911,1713
"Avondale (Christchurch City)",172.693,-43.5077,1714
"Dallington",172.6716,-43.5113,1715
"Aranui",172.7053,-43.5106,1716
"Holmwood",172.6084,-43.5193,1717
"Woolston North",172.6752,-43.5409,1718
"Sumner",172.7636,-43.5749,1719
"Phillipstown",172.6637,-43.5369,1720
"South New Brighton",172.7392,-43.5313,1721
"Burwood",172.6849,-43.4956,1722
"Halswell North",172.578,-43.5739,1723
"Hoon Hay East",172.6001,-43.5648,1724
"Riccarton East",172.6107,-43.5325,1725
"Prebbleton",172.5078,-43.5787,1726
"Woolston East",172.6869,-43.5487,1727
"Spreydon South",172.6133,-43.5582,1728
"Sydenham North",172.6436,-43.5505,1729
"Beckenham",172.6428,-43.5634,1730
"Somerfield East",172.6295,-43.5592,1731
"Hoon Hay South",172.6116,-43.5719,1732
"Cashmere East",172.6406,-43.578,1733
"Spreydon West",172.6046,-43.553,1734
"Opawa",172.662,-43.5561,1735
"Bromley South",172.6837,-43.5367,1736
"Addington East",172.6231,-43.5451,1737
"Waltham",172.6533,-43.5506,1738
"Heathcote Valley",172.7124,-43.5776,1739
"Bexley",172.7053,-43.5199,1740
"Westmorland",172.6095,-43.5848,1741
"Redcliffs",172.7318,-43.5657,1742
"Huntsbury",172.6509,-43.569,1743
"Mount Pleasant",172.7189,-43.5643,1744
"Otakaro-Avon River Corridor",172.6944,-43.4989,1745
"Clifton Hill",172.7478,-43.5719,1746
"Diamond Harbour",172.7351,-43.6307,1747
"Teddington",172.713,-43.6715,1748
"Akaroa Harbour",172.9532,-43.8418,1749
"Akaroa",172.9685,-43.8071,1750
"Tai Tapu",172.5845,-43.6662,1751
"Eastern Bays-Banks Peninsula",172.9313,-43.6758,1752
"Glenroy-Hororata",171.7871,-43.4829,1753
"Craigieburn",171.6728,-43.0689,1754
"Glentunnel",172.0136,-43.4732,1755
"Kirwee",172.1997,-43.4748,1756
"Rolleston North East",172.396,-43.5906,1757
"Ashburton Central",171.7354,-43.9025,1758
"Charing Cross",172.1509,-43.5646,1759
"Halkett",172.3503,-43.4924,1760
"Rolleston Central",172.3757,-43.6005,1761
"Rolleston South East",172.4018,-43.6106,1762
"Leeston",172.2966,-43.7602,1763
"Springston",172.3756,-43.6556,1764
"Southbridge",172.2102,-43.7925,1765
"Rakaia",172.009,-43.747,1766
"Rolleston South West",172.3746,-43.6149,1767
"Ladbrooks",172.5248,-43.6394,1768
"Irwell",172.3382,-43.726,1769
"Lincoln East",172.4937,-43.6385,1770
"Rolleston North West",172.3634,-43.6009,1771
"Ashburton Forks",171.4318,-43.7849,1772
"Methven",171.6427,-43.633,1773
"Winchmore-Wakanui",171.8283,-43.9632,1774
"Ashburton North",171.7895,-43.8918,1775
"Allenton East",171.7576,-43.8912,1776
"Cairnbrae",171.7736,-43.6646,1777
"Ealing-Lowcliffe",171.4974,-44.0366,1778
"Eiffelton",171.665,-43.959,1779
"Chertsey",171.9665,-43.8251,1780
"Allenton South",171.7323,-43.8905,1781
"Ashburton West",171.7443,-43.8985,1782
"Tinwald South",171.7182,-43.9248,1783
"Netherby",171.7658,-43.9003,1784
"Geraldine",171.2385,-44.0941,1785
"Highfield North",171.2232,-44.3862,1786
"Fraser Park",171.2305,-44.396,1787
"Ashburton Lakes",171.1295,-43.4494,1788
"Ashburton East",171.758,-43.9029,1789
"Allenton North",171.7451,-43.8821,1790
"Hampstead",171.7565,-43.9116,1791
"Waitohi (Timaru District)",171.3783,-44.1854,1792
"Timaru Central",171.2514,-44.3984,1793
"Tinwald North",171.7237,-43.9126,1794
"Rangitata",171.3258,-44.1104,1795
"Temuka West",171.2766,-44.237,1796
"Washdyke",171.2478,-44.3533,1797
"Timaru East",171.2609,-44.4142,1798
"Pleasant Point",171.136,-44.2566,1799
"Levels",171.2553,-44.2943,1800
"Fairview",171.1753,-44.4402,1801
"Marchwiel West",171.2246,-44.3796,1802
"Waimataitai-Maori Hill",171.242,-44.3837,1803
"Watlington",171.232,-44.4062,1804
"Parkside",171.2463,-44.4047,1805
"Opua (Mackenzie District)",171.0686,-43.8562,1806
"Fairlie",170.8254,-44.097,1807
"Arundel",171.058,-44.0604,1808
"Temuka East",171.2978,-44.2473,1809
"Levels Valley",171.0145,-44.2719,1810
"Gleniti South",171.1964,-44.3837,1811
"Seaview",171.2417,-44.3955,1812
"Glenwood",171.2085,-44.3874,1813
"Marchwiel East",171.2353,-44.377,1814
"Highfield South",171.2178,-44.3935,1815
"Kensington (Timaru District)",171.2473,-44.4117,1816
"Gleniti North",171.1854,-44.3731,1817
"Twizel",170.0938,-44.2686,1818
"Mackenzie Lakes",170.3058,-43.933,1819
"Aviemore",169.9506,-44.4747,1820
"Makikihi-Willowbridge",171.0511,-44.6881,1821
"Morven-Glenavy-Ikawai",171.001,-44.8537,1822
"Waimate West",171.0383,-44.7324,1823
"Waimate East",171.0473,-44.7377,1824
"Danseys Pass",170.5021,-44.8943,1825
"Lyalldale",171.1096,-44.4902,1826
"Maungati",170.9398,-44.4996,1827
"Waimate North",171.0478,-44.722,1828
"Oamaru North Milner Park",171,-45.064,1829
"Glen Warren",170.9673,-45.0909,1830
"Oamaru Central",170.9718,-45.1007,1831
"Hakataramea",170.5931,-44.595,1832
"Ngapara",170.6974,-45.0621,1833
"Maheno",170.7053,-45.2773,1834
"Weston",170.9307,-45.0891,1835
"Oamaru North Orana Park",170.9777,-45.0806,1836
"Oamaru Gardens",170.9454,-45.0982,1837
"South Hill",170.9614,-45.1058,1838
"Palmerston",170.7095,-45.4815,1839
"Waikouaiti",170.6673,-45.6031,1840
"Dunedin Central",170.5029,-45.8771,1841
"Waihemo",170.5516,-45.3924,1842
"Holmes Hill",170.9473,-45.1068,1843
"Bucklands Crossing",170.5325,-45.6249,1844
"Cromwell West",169.1705,-45.0641,1845
"Cromwell East",169.2062,-45.0375,1846
"Earnscleugh",169.2509,-45.2811,1847
"Clyde",169.3245,-45.1925,1848
"Alexandra North",169.3898,-45.2436,1849
"Alexandra South",169.3758,-45.2521,1850
"Outer Wakatipu",168.7154,-44.8371,1851
"Wanaka North",169.1523,-44.68,1852
"Wanaka Central",169.1499,-44.7052,1853
"Upper Clutha Valley",169.2943,-44.6873,1854
"Warren Park",168.6617,-45.0226,1855
"Queenstown Central",168.6546,-45.0327,1856
"Frankton",168.7459,-45.0183,1857
"Lindis-Nevis Valleys",169.2809,-44.9431,1858
"Wakatipu Basin",168.7838,-44.9714,1859
"Dunstan-Galloway",169.4394,-45.1991,1860
"Maniototo",170.0209,-45.2528,1861
"Manuherikia-Ida Valleys",169.7256,-45.0524,1862
"Teviot Valley",169.4267,-45.5823,1863
"Maori Hill",170.5006,-45.8578,1864
"Arthur Street",170.4927,-45.8757,1865
"Wanaka Waterfront",169.1308,-44.674,1866
"Glenorchy",168.3559,-44.7273,1867
"Arrowtown",168.8384,-44.9457,1868
"Wanaka West",169.1153,-44.7034,1869
"Cardrona",169.0497,-44.7826,1870
"Albert Town",169.182,-44.6837,1871
"Lake Hawea",169.2668,-44.6139,1872
"Outer Wanaka",169.4095,-44.4763,1873
"Mossburn",168.3747,-45.5465,1874
"Queenstown East",168.6725,-45.0329,1875
"Frankton Arm",168.6894,-45.027,1876
"Arthurs Point",168.6733,-44.9892,1877
"Shotover Country",168.7757,-45.0068,1878
"Sunshine Bay-Fernhill",168.6311,-45.0413,1879
"Lake Hayes",168.8148,-44.9796,1880
"Kelvin Heights",168.7233,-45.0391,1881
"Lake Hayes Estate",168.7937,-45.0023,1882
"Quail Rise",168.7488,-44.9948,1883
"Jacks Point",168.7372,-45.0718,1884
"Seddon Park",170.3564,-45.8767,1885
"Hillside-Portsmouth Drive",170.5043,-45.8923,1886
"Mount Cargill",170.5697,-45.7837,1887
"Kaikorai-Bradford",170.4488,-45.8963,1888
"Roslyn (Dunedin City)",170.4918,-45.8671,1889
"North East Valley Knox",170.5224,-45.8524,1890
"Gardens (Dunedin City)",170.5192,-45.8588,1891
"Green Island",170.4374,-45.9071,1892
"Port Chalmers",170.618,-45.8122,1893
"Royal Terrace",170.5047,-45.8667,1894
"Campus North",170.5195,-45.8649,1895
"Harbourside",170.5313,-45.8678,1896
"Forbury",170.4903,-45.901,1897
"St Clair",170.4756,-45.9149,1898
"Strath Taieri",170.1227,-45.6329,1899
"Taieri",170.3663,-45.8271,1900
"Mosgiel East",170.3644,-45.8665,1901
"Mosgiel Central",170.3479,-45.8787,1902
"Wingatui",170.3863,-45.867,1903
